name,12/31/25,12/31/24,12/31/23,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96,12/31/95,12/31/94,12/31/93,12/31/92,12/31/91,12/31/90,12/31/89
Total Assets,"20,361,000,000","19,768,000,000","14,613,000,000","14,186,000,000","13,951,000,000","14,046,000,000","12,993,000,000","10,912,000,000","10,746,000,000","9,962,000,000","6,530,000,000","6,064,000,000","5,838,000,000","5,505,000,000","5,167,000,000","5,016,600,000","4,996,200,000","4,835,600,000","4,490,900,000","4,077,100,000","3,792,000,000","3,335,000,000","3,259,200,000","2,880,700,000","2,950,500,000","2,528,100,000","2,180,100,000","1,731,800,000","1,533,100,000","1,311,400,000","1,313,400,000","1,315,771,000","1,135,000,000","1,208,400,000","1,211,600,000","1,021,400,000","874,100,000"
"	Current Assets","3,266,000,000","3,760,000,000","2,705,000,000","3,040,000,000","3,920,000,000","4,006,000,000","2,037,000,000","1,787,000,000","2,152,000,000","2,050,000,000","1,663,000,000","1,639,000,000","1,762,000,000","1,737,000,000","1,596,000,000","1,662,000,000","1,634,300,000","1,508,900,000","1,390,300,000","1,572,300,000","1,540,300,000","1,242,300,000","1,148,300,000","954,300,000","919,000,000","717,200,000","581,900,000","528,800,000","424,600,000","300,200,000","338,400,000","272,643,000","274,200,000","250,500,000","225,600,000","167,700,000","220,000,000"
"		Cash, Cash Equivalents & Short Term Investments","2,123,000,000","2,475,000,000","1,791,000,000","2,417,000,000","3,116,000,000","3,346,000,000","1,521,000,000","1,236,000,000","1,621,000,000","1,580,000,000","1,328,000,000","1,217,000,000","1,330,000,000","1,252,000,000","1,141,000,000","1,208,200,000","1,192,100,000","1,077,400,000","822,800,000","1,013,900,000","982,600,000","873,900,000","812,300,000","635,800,000","660,600,000","459,200,000","329,000,000","306,600,000","212,700,000","101,800,000","135,100,000","104,942,000","27,200,000","6,900,000","19,100,000","28,900,000","13,400,000"
"			Cash And Cash Equivalents","627,000,000","1,201,000,000","281,000,000","338,000,000","470,000,000","1,370,000,000","221,000,000","105,000,000","194,000,000","328,000,000","73,000,000","107,000,000","80,000,000","122,000,000","102,000,000","89,500,000","164,200,000","283,100,000","204,300,000","230,700,000","73,600,000","54,300,000","192,900,000","269,000,000","490,800,000","101,400,000","132,500,000","29,400,000","102,600,000","49,400,000","25,800,000","11,605,000","27,200,000","6,900,000","19,100,000","28,900,000","13,400,000"
"				Cash",,,,,,,,,,"283,000,000","4,000,000","4,000,000","9,000,000","28,000,000","62,000,000",,,,,,,,,,,,,,,,,,,,,,
"				Cash Equivalents",,,,,,,,,,"45,000,000","69,000,000","103,000,000","71,000,000","94,000,000","40,000,000",,,,,,,,,,,,,,,,,,,,,,
"			Other Short Term Investments","1,496,000,000","1,274,000,000","1,510,000,000","2,079,000,000","2,646,000,000","1,976,000,000","1,300,000,000","1,131,000,000","1,427,000,000","1,252,000,000","1,255,000,000","1,110,000,000","1,250,000,000","1,130,000,000","1,039,000,000","1,118,700,000","1,027,900,000","794,300,000","618,500,000","783,200,000","909,000,000","819,600,000","619,400,000","366,800,000","169,800,000","357,800,000","196,500,000","277,200,000","110,100,000","52,400,000","109,300,000","93,337,000",,,,,
"		Receivables","565,000,000","558,000,000","383,000,000","296,000,000","546,000,000","480,000,000","323,000,000","366,000,000","341,000,000","302,000,000","212,000,000","259,000,000","152,000,000","130,000,000","136,000,000","120,100,000","111,800,000","116,700,000","138,000,000","134,200,000","124,200,000","99,400,000","120,700,000","125,400,000","83,800,000","86,800,000","74,600,000","70,600,000","72,600,000","69,700,000","88,500,000","70,055,000","75,300,000","84,400,000","61,300,000","65,400,000","59,200,000"
"			Accounts receivable","565,000,000","558,000,000","383,000,000","296,000,000","546,000,000","480,000,000","323,000,000","366,000,000","341,000,000","302,000,000","212,000,000","259,000,000","152,000,000","130,000,000","136,000,000","120,100,000",,,,,,,,,,,"74,600,000","70,600,000",,,,,,,,,
"				Gross Accounts Receivable",,,,,,,,,"342,000,000","303,000,000","213,000,000","259,000,000","153,000,000","130,000,000","137,000,000","121,000,000",,,,,,,,,,,,,,,,,,,,,
