name,ttm,12/31/25,12/31/24,12/31/23,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96,12/31/95,12/31/94,12/31/93,12/31/92,12/31/91,12/31/90,12/31/89
Operating Cash Flow,"1,211,000,000","1,249,000,000","1,464,000,000","1,050,000,000","1,418,000,000","1,030,000,000","-234,000,000","1,722,000,000","1,195,000,000","1,590,000,000","1,386,000,000","1,584,000,000","1,030,000,000","981,000,000","753,000,000","696,000,000","553,000,000","292,500,000","164,300,000","482,000,000","449,800,000","270,100,000","334,000,000","355,200,000","124,500,000","286,500,000","273,100,000","330,100,000","310,200,000","205,200,000","222,900,000","125,500,000","144,133,000","48,500,000","20,200,000","82,500,000","103,200,000","107,600,000"
"	Cash Flow from Continuing Operating Activities","1,211,000,000","1,249,000,000","1,464,000,000","1,050,000,000","1,418,000,000","1,030,000,000","-234,000,000","1,722,000,000","1,195,000,000","1,590,000,000","1,386,000,000","1,584,000,000","1,030,000,000","981,000,000","753,000,000","696,000,000","553,000,000","292,500,000","164,300,000","482,000,000","449,800,000","270,100,000","334,000,000","355,200,000","124,500,000","286,500,000","273,100,000","330,100,000","310,200,000","205,200,000","222,900,000","125,500,000","144,133,000","48,500,000","20,200,000","82,500,000","103,200,000","107,600,000"
"		Net Income from Continuing Operations","73,000,000","100,000,000","395,000,000","235,000,000","58,000,000","478,000,000","-1,324,000,000","769,000,000","437,000,000","960,000,000","797,000,000","848,000,000","605,000,000","508,000,000","316,000,000","245,000,000","251,000,000","121,600,000","-135,900,000","124,300,000","-52,600,000","-5,900,000","-15,300,000","13,500,000","-118,600,000","-43,400,000","-67,200,000","134,200,000","124,400,000","72,400,000","38,000,000","17,300,000","22,500,000","-30,900,000","-80,300,000","10,300,000","17,200,000","42,900,000"
"		Operating Gains Losses",,,,,,,,,,,,,,,,,"13,200,000","8,800,000","84,100,000","14,100,000","24,400,000","42,300,000","-14,100,000","4,300,000","45,500,000","22,300,000","46,800,000","900,000","1,000,000","-1,900,000","-9,100,000","1,900,000","-1,100,000","14,700,000","28,300,000","-500,000","-2,100,000","-900,000"
"		Depreciation Amortization Depletion","805,000,000","795,000,000","583,000,000","451,000,000","415,000,000","394,000,000","420,000,000","423,000,000","398,000,000","372,000,000","363,000,000","320,000,000","294,000,000","270,000,000","264,000,000","247,000,000","230,000,000","219,200,000","204,600,000","177,400,000","157,500,000","143,400,000","205,200,000","202,200,000","194,700,000","207,800,000","-107,500,000","134,900,000","116,200,000","-103,400,000","102,100,000","92,600,000","77,545,000","-58,400,000","-56,800,000","-51,800,000","-60,600,000","-46,200,000"
"			Depreciation & amortization","805,000,000","795,000,000","583,000,000","451,000,000","415,000,000","394,000,000","420,000,000","423,000,000","398,000,000","372,000,000","363,000,000","320,000,000","294,000,000","270,000,000","264,000,000","247,000,000","230,000,000","219,200,000","204,600,000","177,400,000","157,500,000","143,400,000","205,200,000","202,200,000","194,700,000","207,800,000","-107,500,000","134,900,000","116,200,000","-103,400,000","102,100,000","92,600,000","77,545,000","-58,400,000","-56,800,000","-51,800,000","-60,600,000","-46,200,000"
"				Depreciation",,,,,,,,,,,,,,,,,,,,,,"143,400,000","142,600,000","133,000,000","132,500,000","134,100,000","-107,500,000","84,800,000","75,100,000","-103,400,000","67,500,000","68,300,000","56,591,000","-58,400,000","-56,800,000","-51,800,000","-60,600,000","-46,200,000"
"				Amortization",,,,,,,,,,,,,,,,,,,,,,0,"62,600,000","69,200,000","62,200,000","73,700,000","65,300,000","50,100,000","41,100,000","35,100,000","34,600,000","24,300,000","20,954,000",,,,,
"					Amortization of Intangibles",,,,,,,,,,,,,,,,,,,,,,0,"62,600,000","69,200,000","62,200,000","73,700,000","65,300,000","50,100,000","41,100,000","35,100,000","34,600,000","24,300,000","20,954,000",,,,,
"		Deferred Tax",,,,,,,,,,,,,,,,,"145,300,000","84,100,000",,,"-34,000,000","51,600,000","-2,500,000","4,400,000","30,700,000","21,100,000","37,800,000","44,800,000","26,900,000","22,800,000","8,500,000","12,400,000","7,587,000","-8,100,000","-25,800,000","700,000","900,000","-2,100,000"
