name,ttm,12/31/25,12/31/24,12/31/23,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96,12/31/95,12/31/94,12/31/93,12/31/92,12/31/91,12/31/90,12/31/89
Total Revenue,"14,402,000,000","14,239,000,000","11,735,000,000","10,426,000,000","9,646,000,000","6,176,000,000","3,566,000,000","8,781,000,000","8,264,000,000","7,894,000,000","5,925,000,000","5,598,000,000","5,368,000,000","5,156,000,000","4,657,000,000","4,318,000,000","3,832,000,000","3,399,800,000","3,662,600,000","3,506,000,000","3,334,400,000","2,975,300,000","2,723,800,000","2,444,800,000","2,224,100,000","2,152,800,000","2,194,000,000","2,082,000,000","1,897,700,000","1,739,400,000","1,592,200,000","1,417,500,000","1,315,620,000","1,128,300,000","1,115,400,000","1,104,000,000","1,047,000,000","916,500,000"
"	Operating Revenue","12,947,000,000","12,835,000,000","10,654,000,000","9,526,000,000","8,808,000,000","5,499,000,000","3,019,000,000","8,095,000,000","7,631,000,000","7,301,000,000","5,392,000,000","4,901,000,000","4,693,000,000","4,380,000,000","4,141,000,000","3,817,000,000","3,372,000,000","3,399,800,000","3,662,600,000","3,506,000,000","3,334,400,000","2,975,300,000","2,723,800,000","2,444,800,000","2,224,100,000","2,152,800,000","2,194,000,000","2,082,000,000","1,897,700,000","1,739,400,000","1,592,200,000","1,417,500,000","1,315,600,000","1,128,300,000","1,115,400,000","1,104,000,000","1,047,000,000","916,500,000"
Cost of Revenue,"12,481,000,000","12,221,000,000","9,617,000,000","8,557,000,000","7,984,000,000","4,822,000,000","3,980,000,000","6,802,000,000","6,591,000,000","5,640,000,000","3,887,000,000","3,701,000,000","3,929,000,000","3,861,000,000","3,709,000,000","3,420,000,000","2,993,000,000","713,800,000","1,508,600,000","1,102,400,000","1,062,700,000","2,133,000,000","1,826,500,000","1,605,900,000","1,493,100,000","1,463,700,000","1,460,700,000","1,180,700,000","1,058,600,000","1,030,300,000","1,075,300,000","900,200,000","837,900,000","733,000,000","744,800,000","673,800,000","633,500,000","516,700,000"
Gross Profit,"1,921,000,000","2,018,000,000","2,118,000,000","1,869,000,000","1,662,000,000","1,354,000,000","-414,000,000","1,979,000,000","1,673,000,000","2,254,000,000","2,038,000,000","1,897,000,000","1,439,000,000","1,295,000,000","948,000,000","898,000,000","839,000,000","2,686,000,000","2,154,000,000","2,403,600,000","2,271,700,000","842,300,000","897,300,000","838,900,000","731,000,000","689,100,000","733,300,000","901,300,000","839,100,000","709,100,000","516,900,000","517,300,000","477,720,000","395,300,000","370,600,000","430,200,000","413,500,000","399,800,000"
Operating Expense,"1,506,000,000","1,465,000,000","1,203,000,000","1,032,000,000","1,012,000,000","680,000,000","508,000,000","872,000,000","898,000,000","930,000,000","615,000,000","567,000,000","507,000,000","457,000,000","416,000,000","410,000,000","355,000,000","1,664,800,000","1,539,700,000","1,548,200,000","1,565,800,000","2,808,800,000","3,082,500,000","2,462,300,000","2,313,000,000","2,583,100,000","2,512,600,000","2,170,400,000","1,962,500,000","525,400,000","1,746,800,000","1,513,700,000","1,409,122,000","412,100,000","465,500,000","395,600,000","385,000,000","329,900,000"
"	Selling General and Administrative","406,000,000","407,000,000","349,000,000","303,000,000","295,000,000","173,000,000","101,000,000","313,000,000","326,000,000","368,000,000","248,000,000","211,000,000","199,000,000","179,000,000","168,000,000","175,000,000","154,000,000","1,231,700,000","1,112,200,000","1,140,300,000","1,143,100,000","163,400,000","480,900,000","100,100,000","93,000,000","525,800,000","446,900,000","457,300,000","426,100,000","330,500,000","822,100,000","693,000,000","662,100,000","353,700,000","408,700,000","343,800,000","324,400,000","283,700,000"
"		General & Administrative Expense",,,,,,,,,,,,,,,,"1,062,400,000","1,066,100,000","1,099,900,000","965,100,000","979,800,000","973,800,000","527,800,000","480,900,000","459,900,000","458,700,000","461,100,000","514,000,000","452,200,000","428,800,000","437,100,000","923,600,000","786,100,000","754,000,000",,,,,
"			Salaries and Wages",,,,,,,,,,,,,,,,"1,062,400,000","1,052,900,000","1,099,900,000","965,100,000","979,800,000","973,800,000","903,600,000","-967,500,000","-941,600,000","-858,100,000","-795,500,000","-715,900,000","-652,600,000","-594,400,000","-531,700,000","-477,000,000","-427,800,000","-401,700,000",,,,,
"			Other G and A",,,,,,,,,,,,,,,,,"13,200,000",,,,,"-903,600,000","1,448,400,000","1,401,500,000","1,316,800,000","1,256,600,000","1,229,900,000","1,104,800,000","1,023,200,000","968,800,000","1,400,600,000","1,213,900,000","1,155,700,000",,,,,
"		Selling & Marketing Expense","406,000,000","407,000,000","349,000,000","303,000,000","295,000,000","173,000,000","101,000,000","313,000,000","326,000,000","368,000,000","248,000,000","211,000,000","199,000,000","179,000,000","168,000,000","175,000,000","154,000,000","131,800,000","147,100,000","160,500,000","169,300,000","163,400,000",,,"89,900,000","64,700,000","-67,100,000","5,100,000","-2,700,000","-106,600,000","-101,500,000","-93,100,000","-91,900,000",,,,,
"	Depreciation Amortization Depletion",,,,,,,,,,,,,,,,"246,900,000","230,500,000","219,200,000","204,600,000","177,400,000","157,500,000","143,400,000","142,600,000","133,000,000","132,500,000","134,100,000","107,500,000","84,800,000","75,100,000","103,400,000","67,500,000","68,300,000","56,591,000","58,400,000","56,800,000","51,800,000","60,600,000","46,200,000"
"		Depreciation & amortization",,,,,,,,,,,,,,,,"246,900,000","230,500,000","219,200,000","204,600,000","177,400,000","157,500,000","143,400,000","142,600,000","133,000,000","132,500,000","134,100,000","107,500,000","84,800,000","75,100,000","103,400,000","67,500,000","68,300,000","56,591,000","58,400,000","56,800,000","51,800,000","60,600,000","46,200,000"
"			Depreciation",,,,,,,,,,,,,,,,,,,,,"157,500,000","143,400,000","142,600,000","133,000,000","132,500,000","134,100,000","107,500,000","84,800,000","75,100,000","103,400,000","67,500,000","68,300,000","56,591,000","58,400,000","56,800,000","51,800,000","60,600,000","46,200,000"
"	Other Operating Expenses","1,100,000,000","1,058,000,000","854,000,000","729,000,000","717,000,000","507,000,000","407,000,000","559,000,000","572,000,000","562,000,000","367,000,000","356,000,000","308,000,000","278,000,000","248,000,000","235,000,000","201,000,000","213,900,000","222,900,000","230,500,000","265,200,000","2,502,000,000","2,459,000,000","2,229,200,000","2,087,500,000","1,923,200,000","1,958,200,000","1,628,300,000","1,461,300,000","91,500,000","857,200,000","752,400,000","690,431,000",,,,,
Operating Income,"415,000,000","553,000,000","915,000,000","837,000,000","650,000,000","674,000,000","-922,000,000","1,107,000,000","775,000,000","1,324,000,000","1,423,000,000","1,330,000,000","932,000,000","838,000,000","532,000,000","488,000,000","484,000,000","1,021,200,000","614,300,000","855,400,000","705,900,000","166,500,000","-2,185,200,000","-17,500,000","-88,900,000","-1,894,000,000","-1,779,300,000","-1,269,100,000","-1,123,400,000","183,700,000","-1,229,900,000","-996,400,000","-931,402,000","-16,800,000","-94,900,000","34,600,000","28,500,000","69,900,000"
Net Non Operating Interest Income Expense,"-160,000,000","-141,000,000","-41,000,000","-14,000,000","-41,000,000","-92,000,000","-56,000,000","-21,000,000","-35,000,000","-52,000,000","-3,000,000","13,000,000","-7,000,000","-17,000,000","-27,000,000","-53,000,000","-73,000,000","-64,100,000","-36,700,000","-6,300,000","-48,400,000","-32,100,000",,,,,,,,,,,,,,,,
"	Interest Income Non Operating","87,000,000","94,000,000","101,000,000","80,000,000","53,000,000","25,000,000","31,000,000","42,000,000","38,000,000","34,000,000","27,000,000","21,000,000","21,000,000","18,000,000","19,000,000","22,000,000","29,000,000","40,200,000","42,400,000","53,900,000","54,300,000","30,900,000",,,,,,,,,,,,,,,,
"	Interest Expense Non Operating","247,000,000","235,000,000","142,000,000","94,000,000","94,000,000","117,000,000","87,000,000","63,000,000","73,000,000","86,000,000","30,000,000","8,000,000","28,000,000","35,000,000","46,000,000","75,000,000","102,000,000","104,300,000","79,100,000","60,200,000","102,700,000","63,000,000",,,,,,,,,,,,,,,,
Other Income Expense,"-193,000,000","-266,000,000","-329,000,000","-500,000,000","-530,000,000","47,000,000","-862,000,000","-70,000,000","-155,000,000","-113,000,000","-104,000,000","-31,000,000","50,000,000","-5,000,000","9,000,000","-41,000,000","-5,000,000","-400,000","-17,200,000","-4,100,000","23,100,000","2,800,000","-7,000,000","81,500,000","9,000,000","-14,200,000","500,000","6,700,000","-7,600,000","4,200,000","2,600,000","-800,000","5,144,000","8,600,000","12,400,000","21,800,000","19,800,000","18,800,000"
"	Special Income Charges","-194,000,000","-250,000,000","-329,000,000","-461,000,000","-580,000,000","11,000,000","-853,000,000","-44,000,000","-132,000,000","-116,000,000","-117,000,000","-32,000,000","30,000,000",0,0,"-39,000,000","-13,000,000","-400,000","-17,200,000","-4,100,000","23,100,000","2,800,000","-7,000,000","81,500,000","9,000,000","-14,200,000","500,000","6,700,000","-7,600,000","4,200,000","2,600,000","-800,000","5,144,000","8,600,000","12,400,000","21,800,000","19,800,000","18,800,000"
"		Restructuring & Mergers Acquisition","263,000,000","193,000,000","208,000,000","7,000,000",0,"-1,000,000","226,000,000","44,000,000","87,000,000","116,000,000","117,000,000","32,000,000","-30,000,000",0,0,"39,000,000","13,000,000",0,"12,900,000",0,"24,800,000","20,400,000","53,400,000",0,,,,,,,,,,,,,,
"		Impairment of Capital Assets",,,,"268,000,000","70,000,000","-1,000,000","627,000,000",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		Other Special Charges","1,000,000","57,000,000","121,000,000","454,000,000","99,000,000","-10,000,000",,,"45,000,000",,,"32,000,000","-30,000,000",,,"2,300,000","-7,000,000","400,000","4,300,000","4,100,000","-47,900,000","-344,500,000","-46,400,000","-81,500,000",,,,,,,,"600,000","-6,160,000",,,,,
