 , Revenue , Net Income ,Net Margin,Impact Ratio,YoY Revenue, Operating Cash Flow , Free Cash Flow , Total Debt , Cost of Revenue , Total Expenses ,YoY Expense, Operating Expense , Operating Income , Total Unusual Items , Interest Expense ,Operating Margin,Operating Efficiency Ratio, Cost/Rev 
1989," 916,500,000 "," 42,900,000 ",4.68%,-2.95%,0.00%," 107,600,000 "," (1,400,000)"," 235,200,000 "," 516,700,000 "," 846,600,000 ",0.00%," 329,900,000 "," 69,900,000 "," 18,800,000 ",#N/A,7.63%,92.37%, $0.92 
1990," 1,047,000,000 "," 17,200,000 ",1.64%,-1.08%,14.24%," 103,200,000 "," (93,100,000)"," 343,200,000 "," 633,500,000 "," 1,018,500,000 ",20.30%," 385,000,000 "," 28,500,000 "," 19,800,000 ",#N/A,2.72%,97.28%, $0.97 
1991," 1,104,000,000 "," 10,300,000 ",0.93%,-2.20%,5.44%," 82,500,000 "," (61,600,000)"," 522,300,000 "," 673,800,000 "," 1,069,400,000 ",5.00%," 395,600,000 "," 34,600,000 "," 21,800,000 ",#N/A,3.13%,96.87%, $0.97 
1992," 1,115,400,000 "," (84,900,000)",-7.61%,0.90%,1.03%," 20,200,000 "," (257,700,000)"," 556,200,000 "," 744,800,000 "," 1,210,300,000 ",13.18%," 465,500,000 "," (94,900,000)"," 12,400,000 ",#N/A,-8.51%,108.51%, $1.09 
1993," 1,128,300,000 "," (30,900,000)",-2.74%,-1.25%,1.16%," 48,500,000 "," 18,900,000 "," 581,000,000 "," 733,000,000 "," 1,145,100,000 ",-5.39%," 412,100,000 "," (16,800,000)"," 8,600,000 ",#N/A,-1.49%,101.49%, $1.01 
1994," 1,315,620,000 "," 22,531,000 ",1.71%,72.51%,16.60%," 144,133,000 "," (44,495,000)"," 686,909,000 "," 837,900,000 "," 2,247,022,000 ",96.23%," 1,409,122,000 "," (931,402,000)"," 5,144,000 ",#N/A,-70.80%,170.80%, $1.71 
1995," 1,417,500,000 "," 17,300,000 ",1.22%,71.51%,7.74%," 125,500,000 "," 22,200,000 "," 628,000,000 "," 900,200,000 "," 2,413,900,000 ",7.43%," 1,513,700,000 "," (996,400,000)"," (800,000)",#N/A,-70.29%,170.29%, $1.70 
1996," 1,592,200,000 "," 38,000,000 ",2.39%,79.63%,12.32%," 222,900,000 "," (46,900,000)"," 475,200,000 "," 1,075,300,000 "," 2,822,100,000 ",16.91%," 1,746,800,000 "," (1,229,900,000)"," 2,600,000 ",#N/A,-77.25%,177.25%, $1.77 
1997," 1,739,400,000 "," 72,400,000 ",4.16%,-6.40%,9.25%," 205,200,000 "," (165,400,000)"," 430,100,000 "," 1,030,300,000 "," 1,555,700,000 ",-44.87%," 525,400,000 "," 183,700,000 "," 4,200,000 ",#N/A,10.56%,89.44%, $0.89 
1998," 1,897,700,000 "," 124,400,000 ",6.56%,65.75%,9.10%," 310,200,000 "," (303,200,000)"," 198,700,000 "," 1,058,600,000 "," 3,021,100,000 ",94.20%," 1,962,500,000 "," (1,123,400,000)"," (7,600,000)",#N/A,-59.20%,159.20%, $1.59 
1999," 2,082,000,000 "," 134,200,000 ",6.45%,67.40%,9.71%," 330,100,000 "," (234,900,000)"," 403,500,000 "," 1,180,700,000 "," 3,351,100,000 ",10.92%," 2,170,400,000 "," (1,269,100,000)"," 6,700,000 ",#N/A,-60.96%,160.96%, $1.61 
2000," 2,194,000,000 "," (67,200,000)",-3.06%,78.04%,5.38%," 273,100,000 "," (23,800,000)"," 575,900,000 "," 1,460,700,000 "," 3,973,300,000 ",18.57%," 2,512,600,000 "," (1,779,300,000)"," 500,000 ",#N/A,-81.10%,181.10%, $1.81 
2001," 2,152,800,000 "," (43,400,000)",-2.02%,85.96%,-1.88%," 286,500,000 "," (167,300,000)"," 895,400,000 "," 1,463,700,000 "," 4,046,800,000 ",1.85%," 2,583,100,000 "," (1,894,000,000)"," (14,200,000)",#N/A,-87.98%,187.98%, $1.88 
2002," 2,224,100,000 "," (118,600,000)",-5.33%,-1.34%,3.31%," 124,500,000 "," (76,400,000)"," 905,300,000 "," 1,493,100,000 "," 2,313,000,000 ",-42.84%," 2,313,000,000 "," (88,900,000)"," 9,000,000 ",#N/A,-4.00%,171.13%, $1.04 
2003," 2,444,800,000 "," 13,500,000 ",0.55%,1.27%,9.92%," 355,200,000 "," (14,000,000)"," 1,113,600,000 "," 1,605,900,000 "," 2,462,300,000 ",6.45%," 2,462,300,000 "," (17,500,000)"," 81,500,000 ",#N/A,-0.72%,166.40%, $1.01 
